اباي	a b a i
اباي بولۋ	a b a i   b o l w
ابايلاپ	a b a i l a p
ابايلاۋ	a b a i l a w
ابايلاڭىز	a b a i l a n g e z
ابايسىز	a b a i s e z
ابايسىزدا	a b a i s e z d a
ابايسىزدىق	a b a i s e z d e q
اباكۋس	a b a k w s
اباكتسىيالار	a b a k t s xe i a l a r
ابالوندار	a b a l o n d a r
ٴابجۋرىيا	a b j w r xe i a
ابباتتانۋ	a b b a t t a n w
ٴابباتىالدى	a b b a t xe a l d e
اببات	a b b a t
ابەراتسىيا	a b ye r a t s xe i a
ابەكەدىيالىق	a b ye k ye d xe i a l e q
اببرەۆىاتۋراسى	a b b r ye v xe a t w r a s e
ابەت	a b ye t
ابزاتس	a b z a t s
ابب	a b b
ابنەگاتتار	a b n ye g a t t a r
ابنەگات	a b n ye g a t
ابورىگەندەر	a b o r xe g ye n d ye r
ابورىگەن	a b o r xe g ye n
ابزاتستار	a b z a t s t a r
ٴابلاتىۆتى	a b l a t xe v t xe
ابلەر	a b l ye r
ابلوۋم	a b l o w m
ٴابلياتسىيا	a b l i a t s xe i a
ٴابرازىيالار	a b r a z xe i a l a r
ٴابرازىيا	a b r a z xe i a
ابراتتالعان	a b r a t t a l gh a n
ابراتتار	a b r a t t a r
ابورىگەندىك	a b o r xe g ye n d xe k
ابورت جاساۋشى	a b o r t   j a s a w sh e
ابورت جاساۋشىلار	a b o r t   j a s a w sh e l a r
ٴابرازىۆتى	a b r a z xe v t xe
ٴابرازىۆتى زاتتار	a b r a z xe v t xe   z a t t a r
ابستراكتسىيا	a b s t r a k t s xe i a
ٴابسوليۋتتى	a b s o l i w t t xe
ٴابسوليۋتىست	a b s o l i w t xe s t
ٴابسوليۋتتىگى	a b s o l i w t t xe g xe
ابستراكتىلىك	a b s t r a k t xe l xe k
ابرەرىيا	a b r ye r xe i a
ابس	a b s
ابسەنت	a b s ye n t
ابسەنتتە	a b s ye n t t ye
ابسكوندتار	a b s k o n d t a r
ٴابسوليۋتىزم	a b s o l i w t xe z m
ابىرجۋ	a b e r j w
ابۋت	a b w t
ابىرجۋلى	a b e r j w l e
ابىروي	a b e r o i
ابىرويلى	a b e r o i l e
ابسۋرد	a b s w r d
ابسۋردتار	a b s w r d t a r
ابستسەسس	a b s t s ye s s
ٴابستسىسسا	a b s t s xe s s a
ابۋز	a b w z
ٴاۆانتيۋرىست	a v a n t i w r xe s t
ٴاۆانتيۋرىزم	a v a n t i w r xe z m
اۆانتيۋرىستەر	a v a n t i w r xe s t ye r
ٴاۆارىيا	a v a r xe i a
اۆاڭارد	a v a n g a r d
اۆاڭاردتى	a v a n g a r d t e
اۆانس رەتىندە	a v a n s   r ye t xe n d ye
اۆانستار	a v a n s t a r
اۆانستىق	a v a n s t e q
ٴاۆىا	a v xe a
اۆەرس	a v ye r s
ٴاۆىاتور	a v xe a t o r
ٴاۆىاتورلار	a v xe a t o r l a r
اۆاست	a v a s t
اۆاتار	a v a t a r
ٴاۆگرى	a v g r xe
اۆگۋر	a v g w r
اۆگۋرلار	a v g w r l a r
اۆوۆال	a v o v a l
ٴاۆىتامىنوز	a v xe t a m xe n o z
ٴاۆىردۋپوىس	a v xe r d w p o xe s
اۆوۆ	a v o v
اۆوكادو	a v o k a d o
ٴاۆىاتسىيا	a v xe a t s xe i a
ٴاۆىد	a v xe d
ٴاۆىزو بەرۋ	a v xe z o   b ye r w
اۆىكا	a v xe k a
ٴاۆىر	a v xe r
اۆتوبۋسشى	a v t o b w s sh e
اۆتوبۋستار	a v t o b w s t a r
اۆتوگراف	a v t o g r a f
اۆتوگراف جازعان	a v t o g r a f   j a z gh a n
اۆوكاتسىيالار	a v o k a t s xe i a l a r
اۆرورا	a v r o r a
ٴاۆسترالىيالىق	a v s t r a l xe i a l e q
اۆتوباح	a v t o b a h
اۆتوبۋسپەن اينالىسۋ	a v t o b w s p ye n   a i n a l e s w
اۆتوكراتىيالىق	a v t o k r a t xe i a l e q
اۆتوكراتىيا	a v t o k r a t xe i a
اۆتوكولىك	a v t o k xo l xe k
اۆتوكولىك جۇرگىزۋشىلەرى	a v t o k xo l xe k   j xu r g xe z w sh xe l ye r xe
اۆتوجول	a v t o j o l
اۆتوجولدار	a v t o j o l d a r
اۆتوجولشى	a v t o j o l sh e
اۆتوجولشىلار	a v t o j o l sh e l a r
اۆتوكلاۆ	a v t o k l a v
اۆتوكرات	a v t o k r a t
اۆتوماتتاندىرادى	a v t o m a t t a n d e r a d e
اۆتوماتتى	a v t o m a t t e
اۆتوماتتار	a v t o m a t t a r
اۆتوكولىكپەن اينالىسۋ	a v t o k xo l xe k p ye n   a i n a l e s w
ٴاۆتولىز	a v t o l xe z
اۆتومات	a v t o m a t
ٴاۆتوماتىزم	a v t o m a t xe z m
اۆتوماتىكا	a v t o m a t xe k a
ٴاۆتورىتارلىق	a v t o r xe t a r l e q
ٴاۆتورىزاتسىيا	a v t o r xe z a t s xe i a
ٴاۆتوپىلوت	a v t o p xe l o t
ٴاۆتورىزاتسىيالاۋ	a v t o r xe z a t s xe i a l a w
ٴاۆتورىتارىزم	a v t o r xe t a r xe z m
اۆتوماتتى تۇردە	a v t o m a t t e   t xu r d ye
ٴاۆتوموبىل	a v t o m o b xe l
ٴاۆتوموبىل جولدارى	a v t o m o b xe l   j o l d a r e
ٴاۆتوموبىلشى	a v t o m o b xe l sh xe
اۆتونومدى	a v t o n o m d e
ٴاۆتونومىيا	a v t o n o m xe i a
اۆتوتوكسىن	a v t o t o k s xe n
ٴاۆتوتىپ	a v t o t xe p
اۆتوحروندى	a v t o h r o n d e
اۆتوحتوندى	a v t o h t o n d e
اۆتورلارى	a v t o r l a r e
